snapped_at,price,market_cap,total_volume
2023-05-16 00:00:00 UTC,1.661262119285529,1503522976.5112164,69637431.83144863
2023-05-17 00:00:00 UTC,1.6567999106001319,1502244337.8761706,60396486.78114911
2023-05-18 00:00:00 UTC,1.7000805292255292,1543654239.241119,63618540.08107268
2023-05-19 00:00:00 UTC,1.6564478837378802,1504727555.0972912,57105525.15375648
2023-05-20 00:00:00 UTC,1.666366113155795,1511692233.3526173,49444025.59563125
2023-05-21 00:00:00 UTC,1.6711400067569382,1506692793.258434,37855989.59930554
2023-05-22 00:00:00 UTC,1.6113327380388451,1465033880.903964,39927263.914150394
2023-05-23 00:00:00 UTC,1.6120428169522567,1463711303.751496,52006054.8844602
2023-05-24 00:00:00 UTC,1.6507596552105765,1492719371.5440462,51862625.211485066
2023-05-25 00:00:00 UTC,1.573826212584185,1432638436.6064334,61802648.53717999
2023-05-26 00:00:00 UTC,1.5623075540336193,1418247895.1680262,59006953.16398405
2023-05-27 00:00:00 UTC,1.5796211263449804,1435779283.6529973,54778014.265747614
2023-05-28 00:00:00 UTC,1.636450903144871,1490227869.8413248,41629787.8279631
2023-05-29 00:00:00 UTC,1.6693023089737413,1520305387.1907089,53872553.87152328
2023-05-30 00:00:00 UTC,1.629078299341129,1484076321.5962355,51100109.55124986
2023-05-31 00:00:00 UTC,1.6089658327278458,1472404461.627367,48553550.28152968
2023-06-01 00:00:00 UTC,1.5736289678149569,1428937512.6779613,58129039.066409916
2023-06-02 00:00:00 UTC,1.547118796044881,1411418349.8496492,45725472.543270186
2023-06-03 00:00:00 UTC,1.618340306259958,1471958429.7259395,60716924.06371533
2023-06-04 00:00:00 UTC,1.6163855187329903,1474089080.4016368,38959613.088813126
2023-06-05 00:00:00 UTC,1.620923537820219,1480543536.9574518,37750061.55090231
2023-06-06 00:00:00 UTC,1.5028078701865812,1372944993.5024126,100076459.41589224
2023-06-07 00:00:00 UTC,1.533275367654174,1399195138.345917,74067577.14357448
2023-06-08 00:00:00 UTC,1.417843573835466,1295374541.9780893,68534905.0027884
2023-06-09 00:00:00 UTC,1.4140528484905588,1289504286.097756,56232559.99536968
2023-06-10 00:00:00 UTC,1.3877532707996894,1269227141.638729,51251778.63344697
2023-06-11 00:00:00 UTC,1.2045370070079016,1102940384.6281831,137288944.6926515
2023-06-12 00:00:00 UTC,1.2063460771278223,1102685367.9858854,60400896.75823668
2023-06-13 00:00:00 UTC,1.1988497991479667,1097327816.267451,57647716.67425709
2023-06-14 00:00:00 UTC,1.1973040515030646,1097674917.061463,66173973.86635358
2023-06-15 00:00:00 UTC,1.1735669106806959,1075972241.2845323,63364695.64994462
2023-06-16 00:00:00 UTC,1.1932922394503944,1099257216.7573092,53182112.38313522
2023-06-17 00:00:00 UTC,1.213845995447749,1117391834.5885322,36728795.88738311
2023-06-18 00:00:00 UTC,1.2565885729247048,1158992411.3790226,41957379.574702516
2023-06-19 00:00:00 UTC,1.2382843852202965,1142366374.2288742,37705160.75092791
2023-06-20 00:00:00 UTC,1.236813134898354,1141019827.8204863,29585076.522925843
2023-06-21 00:00:00 UTC,1.2957474267558924,1195841164.8785598,38054676.114526406
2023-06-22 00:00:00 UTC,1.3391147399468566,1235797980.7689288,58714456.36525852
2023-06-23 00:00:00 UTC,1.3256102997067232,1227554025.4296312,51664677.041600116
2023-06-24 00:00:00 UTC,1.378385017376918,1273265179.3220642,42387137.57551319
2023-06-25 00:00:00 UTC,1.41393828943161,1304953405.0767546,50251392.766199216
2023-06-26 00:00:00 UTC,1.399657762955418,1295592816.8593152,41961172.0025776
2023-06-27 00:00:00 UTC,1.4855439882578887,1369623373.405198,199089854.24014977
2023-06-28 00:00:00 UTC,1.479006083392502,1368252916.4710467,60818373.73625813
2023-06-29 00:00:00 UTC,1.3632778378972372,1262474369.1585534,50860166.88911048
2023-06-30 00:00:00 UTC,1.3504317534303902,1252390984.4800806,45184370.7006266
2023-07-01 00:00:00 UTC,1.3836421034276782,1279622832.6474416,95021139.62998343
2023-07-02 00:00:00 UTC,1.4799197344723398,1370192541.2070432,55762224.23681521
2023-07-03 00:00:00 UTC,1.4649542470615138,1357820193.8427541,46034134.20359475
2023-07-04 00:00:00 UTC,1.4531058867305995,1347971686.2626233,57505144.9827579
2023-07-05 00:00:00 UTC,1.3990801785963756,1302905813.6008933,44059223.969905496
2023-07-06 00:00:00 UTC,1.352059416278765,1258878729.0796359,47453636.65462909
2023-07-07 00:00:00 UTC,1.3173957608301607,1224685675.7680902,41397150.02241083
2023-07-08 00:00:00 UTC,1.3301199953956826,1236168063.288072,41998526.79789664
2023-07-09 00:00:00 UTC,1.3842898588014043,1286172338.7240088,47492574.98442442
2023-07-10 00:00:00 UTC,1.3258572159588125,1231393811.1582184,40126683.596439704
2023-07-11 00:00:00 UTC,1.3284073024852965,1236038991.2929296,35351915.78346176
2023-07-12 00:00:00 UTC,1.3292812952390982,1237598875.5774636,29130099.927253906
2023-07-13 00:00:00 UTC,1.3317454810628022,1243370399.3107796,42418155.946175
2023-07-14 00:00:00 UTC,1.4658083477602,1362136766.4022834,97130929.11314312
2023-07-15 00:00:00 UTC,1.501629039259565,1399048782.4412599,163928982.41340932
2023-07-16 00:00:00 UTC,1.4900021073237117,1395331685.9254324,48848623.628512435
2023-07-17 00:00:00 UTC,1.4451538708543827,1351593075.2724862,47399304.72574433
2023-07-18 00:00:00 UTC,1.4961807020126925,1402027231.1838315,74011258.32489392
2023-07-19 00:00:00 UTC,1.4673193694043043,1372894436.8766716,68571841.06508033
2023-07-20 00:00:00 UTC,1.4666306920034933,1375380647.423887,61500991.10522919
2023-07-21 00:00:00 UTC,1.5243270685046386,1432151399.1652439,108000064.91206406
2023-07-22 00:00:00 UTC,1.4798503257647988,1389720129.9124725,54317612.412015416
2023-07-23 00:00:00 UTC,1.4369611061417857,1347653095.4356534,42230995.09259165
2023-07-24 00:00:00 UTC,1.4565572719642508,1369528793.1406493,42613568.075007334
2023-07-25 00:00:00 UTC,1.381138104404535,1299540031.6296275,65229195.21910376
2023-07-26 00:00:00 UTC,1.3479451702600593,1266571346.069018,55533523.718386546
2023-07-27 00:00:00 UTC,1.3653063096805718,1283629587.1783354,58239108.56522798
2023-07-28 00:00:00 UTC,1.378262022125731,1298714160.7341635,45543290.3551951
2023-07-29 00:00:00 UTC,1.3914156045661512,1310400176.7591658,35920812.75717889
